Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.23125,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.2315,True,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.23175,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.232,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
3.33,0.23224999999999998,False,17030631.599342614,True
